ID,ObsType,ObsID,Latitude,Longitude,Elevation(m),LocalDate,LocalTime,UTDate,UTTime,LimitingMag,SQMReading,SQMSerial,CloudCover,Constellation,SkyComment,LocationComment,Country
79665,GAN,1,51.7503,19.3946,186.33,2012-01-14,22:21,2012-01-14,21:21,2,,,"over 1/2 of sky","Orion","Cirrostratus (probably) :)","Rather dark environment. Waste gentle snow. No trees. A few street lamps at a distance of approximately 100m. On a clear night a very good visibility of the stars.The reason - low industrialized region. Lot of green areas around.","Poland"
79666,GAN,3,35.785,-78.6745,111.38,2012-01-14,21:44,2012-01-15,02:44,2,,,"1/4 of sky","Orion","A few clouds, but this is about as good as it gets on NC State's campus","Urban, many streetlights, construction, buildings, cars, etc.","United States - North Carolina"
79667,GAN,5,33.1783,-96.8753,179.76,2012-01-14,21:17,2012-01-15,03:17,4,,,"clear","Orion","Sky is quite clear.","Suburban location.  Clear skys, cool and dry.  No rain or snow.  Several porch lights on in the neigborhood and two nearby streetlights.","United States - Texas"
79668,GAN,6,44.0585,-121.334,1116.95,2012-01-14,20:03,2012-01-15,04:03,5,,,"1/4 of sky","Orion","Some clouds headed southeast, sky clear, great visibility","Suburban location,  no street lights within 1 block, few trees, one porch light and many small LED garden lights on, no snow cover.","United States - Oregon"
79669,GAN,7,35.0902,-106.221,2014.3,2012-01-14,21:19,2012-01-15,04:19,5,,,"clear","Orion","Some light pollution to the eat toward Albuqueruqe (26 miles)","Rural, 50% snow cover","United States - New Mexico"
79670,GAN,8,30.353,-90.0693,1.21,2012-01-14,22:46,2012-01-15,04:46,4,,,"clear","Orion","Glow south over new orleans","Multiple street lights, no snow, clear skies. (North shore of lake ponchartrain)","United States - Louisiana"
79671,GAN,9,29.4872,-98.6559,260.49,2012-01-14,23:51,2012-01-15,05:51,5,,,"clear","Orion","","","United States - Texas"
79672,GAN,10,40.1772,-105.133,1538.16,2012-01-14,23:00,2012-01-15,06:00,5,,,"clear","Orion","There were some light clouds to the west that didn't interfere with seeing.   Between mag 4 and 5, I could see orions bow but not as many as this chart shows . Light pollution here is pretty bad but I still regularly roll my 10"" newtonian out on the driveway to view.  Please note this observation was on the 13th but your form wouldn't accept it.","suburban, lots of street lights and lamps","United States - Colorado"
79673,GAN,11,35.6345,-87.1275,187.33,2012-01-14,23:34,2012-01-15,05:34,3,,,"clear","Orion","","","United States - Tennessee"
79674,GAN,12,22.2129,-159.416,83.99,2012-01-14,20:54,2012-01-15,06:54,7,,,"clear","Orion","beautiful,clear,crisp night.  great view of the milky way too..","","United States - Hawaii"
79675,GAN,13,47.336,-122.076,149.93,2012-01-14,22:56,2012-01-15,06:56,5,,,"1/4 of sky","Orion","","","United States - Washington"
79676,GAN,14,55.5709,12.9712,15.33,2012-01-14,23:41,2012-01-14,22:41,4,,,"1/4 of sky","Orion","","suburban","Sweden"
