ID,ObsType,ObsID,Latitude,Longitude,Elevation(m),LocalDate,LocalTime,UTDate,UTTime,LimitingMag,SQMReading,SQMSerial,CloudCover,Constellation,SkyComment,LocationComment,Country
97184,GAN,23,49.8424,18.3031,273.28,2013-01-03,21:30,2013-01-03,20:30,1,,,"1/2 of sky","Orion","","Urban location, no snow, frost -5dgC, around 10 streetlights","Czech Republic"
97185,GAN,24,4.60642,-74.0695,2618.55,2013-01-03,23:15,2013-01-04,04:15,2,,,"clear","Orion","","","Colombia"
97186,GAN,25,45.7148,3.368,412.02,2013-01-03,20:10,2013-01-03,19:10,5,,,"1/4 of sky","Orion","quality lower than the previous year","Eglise prs billom near Clermont fd  at 20 miles","France"
97187,GAN,26,33.2313,-111.855,366.25,2013-01-03,23:32,2013-01-04,06:32,3,,,"clear","Orion","","","United States - Arizona"
97188,GAN,27,35.9339,139.771,7.92,2013-01-03,18:19,2013-01-03,09:19,-9999,,,"over 1/2 of sky","Orion","","","Japan"
97189,GAN,28,35.4383,137.362,301.27,2013-01-03,18:53,2013-01-03,09:53,3,,,"1/4 of sky","Orion","","","Japan"
97190,GAN,29,33.5333,-7.58333,149.44,2013-01-03,21:00,2013-01-03,21:00,3,,,"1/4 of sky","Orion","","","Morocco"
97191,GAN,30,35.671,139.583,51.48,2013-01-03,20:21,2013-01-03,11:21,3,,,"1/4 of sky","Orion","","","Japan"
97192,GAN,31,34.6056,135.91,494.91,2013-01-03,21:03,2013-01-03,12:03,3,,,"1/4 of sky","Orion","Cirrostratus  Stratus","suburban  a few street lights","Japan"
97193,GAN,32,51.9971,5.88275,72.26,2013-01-03,23:00,2013-01-03,22:00,4,,,"clear","Orion","Clear","Suburban, city to the south, forests to the north","The Netherlands"
97194,SQM,33,-33.728,150.992,113.76,2013-01-03,23:24,2013-01-03,12:24,5,19.27,4770,"clear","Orion","clear, sky glow to the south and east","outer suburban. trees west to south.","Australia"
97195,GAN,34,36.1186,139.921,18.36,2013-01-03,21:05,2013-01-03,12:05,4,,,"clear","Orion","no cloud  clear sky","","Japan"
97196,GAN,35,35.8298,139.428,74.4,2013-01-03,21:53,2013-01-03,12:53,4,,,"clear","Orion","","","Japan"
97197,GAN,36,35.616,139.556,31.83,2013-01-03,22:05,2013-01-03,13:05,3,,,"clear","Orion","","","Japan"
97198,GAN,37,36.7447,118.739,38.45,2013-01-03,21:17,2013-01-03,13:17,4,,,"clear","Orion","","Snow covered a little, no street lights, the air is clear.","China"
97199,GAN,38,42.518,142.028,11.09,2013-01-03,22:00,2013-01-03,13:00,4,,,"clear","Orion","It has cleared up well.   However, it seems that the haze has hung on the sky thinly.","Location of map's center:  Latitude: 42.51827  Longitude: 142.02841  http://eo.ucar.edu/geocode/    SnowCoverd.  There are many street lights and they are dazzling.   Light was hidden and observed by hand.","Japan"
97200,GAN,39,38.2366,140.784,192.67,2013-01-03,20:00,2013-01-03,11:00,4,,,"1/4 of sky","Orion","","","Japan"
97201,GAN,40,35.898,139.474,29.18,2013-01-03,22:33,2013-01-03,13:33,4,,,"clear","Orion","","","Japan"
97202,GAN,41,35.443,137.502,914.8,2013-01-03,20:10,2013-01-03,11:10,5,,,"1/4 of sky","Orion","","","Japan"
97203,GAN,43,35.4191,137.425,612.2,2013-01-03,23:02,2013-01-03,14:02,4,,,"1/4 of sky","Orion","","","Japan"
97204,GAN,44,35.7434,139.729,26.68,2013-01-03,22:45,2013-01-03,13:45,4,,,"1/4 of sky","Orion","","urban","Japan"
