ID,ObsType,ObsID,Latitude,Longitude,Elevation(m),LocalDate,LocalTime,UTDate,UTTime,LimitingMag,SQMReading,SQMSerial,CloudCover,Constellation,SkyComment,LocationComment,Country
141436,GAN,1,32.2335,-110.947,746.79,2015-01-11,22:22,2015-01-12,05:22,3,,,"clear","Orion","sdfdsf","sdfds","United States - Arizona"
141437,GAN,3,30.9389,-95.255,50.94,2015-01-11,18:23,2015-01-12,00:23,5,,,"clear","Orion","","","United States - Texas"
141438,GAN,6,51.9078,4.34359,7,2015-01-11,21:33,2015-01-11,20:33,3,,,"clear","Orion","","","Netherlands"
141439,GAN,9,27.8964,-81.8431,37.71,2015-01-13,21:26,2015-01-14,02:26,2,,,"1/2 of sky","Orion","","","United States - Florida"
141440,GAN,14,25.096,121.519,5.87,2015-01-11,18:35,2015-01-11,10:35,2,,,"1/4 of sky","Orion","","","Taiwan"
141441,GAN,19,24.8276,121.231,252.09,2015-01-11,19:00,2015-01-11,11:00,4,,,"1/2 of sky","Orion","Clouds was on the west ske,east sky can see so many stars.","country","Taiwan"
141442,GAN,20,25.0574,121.562,14.48,2015-01-11,23:17,2015-01-11,15:17,-9999,,,"over 1/2 of sky","Orion","","","Taiwan"
141443,GAN,21,41.5802,-75.8383,336.32,2015-01-20,18:00,2015-01-20,23:00,3,,,"clear","Orion","Small amount of light doming from the east-southeast from scranton.","Rural location  2"" snow cover  Small neighborhood no street lights","United States - Pennsylvania"
141444,GAN,22,41.5802,-75.8383,336.32,2015-01-20,18:00,2015-01-20,23:00,3,,,"clear","Orion","Small amount of light doming from the east-southeast from scranton.","Rural location  2"" snow cover  Small neighborhood no street lights","United States - Pennsylvania"
141445,GAN,25,35.4531,139.649,1,2015-01-11,19:00,2015-01-11,10:00,3,,,"clear","Orion","","","Japan"
141446,GAN,31,35.4369,139.599,13.42,2015-01-11,18:40,2015-01-11,09:40,3,,,"clear","Orion","very clear","","Japan"
141447,GAN,32,35.6574,139.638,42.55,2015-01-11,19:45,2015-01-11,10:45,3,,,"clear","Orion","","","Japan"
141448,GAN,33,25.0445,121.575,18.7,2015-01-11,19:36,2015-01-11,11:36,2,,,"over 1/2 of sky","Orion","","","Taiwan"
141449,GAN,34,35.6691,139.92,1.03,2015-01-11,20:42,2015-01-11,11:42,2,,,"1/4 of sky","Orion","","","Japan"
141450,GAN,37,35.7272,139.219,188.87,2015-01-11,22:35,2015-01-11,13:35,4,,,"1/4 of sky","Orion","","","Japan"
141451,GAN,38,35.9383,139.383,40.86,2015-01-11,22:50,2015-01-11,13:50,3,,,"clear","Orion","","","Japan"
141452,GAN,39,35.6962,139.593,53.72,2015-01-11,23:31,2015-01-11,14:31,3,,,"clear","Orion","","","Japan"
141453,GAN,40,35.7242,139.754,31.35,2015-01-11,23:53,2015-01-11,14:53,1,,,"clear","Orion","","","Japan"
141454,GAN,41,35.8371,139.881,1.65,2015-01-11,23:59,2015-01-11,14:59,-9999,,,"clear","Orion","","","Japan"
141455,GAN,42,35.7118,139.579,57.23,2015-01-11,23:30,2015-01-11,14:30,3,,,"clear","Orion","","","Japan"
141456,GAN,43,45.7295,15.9044,121,2015-01-11,20:00,2015-01-11,19:00,-9999,,,"over 1/2 of sky","Orion","","","Croatia"
141457,GAN,44,45.8099,15.9583,125.47,2015-01-11,20:07,2015-01-11,19:07,-9999,,,"over 1/2 of sky","Orion","","","Croatia"
141458,SQM,45,40.0473,-2.92952,811.32,2015-01-11,21:45,2015-01-11,20:45,6,21.06,5855,"clear","Orion","","","Spain"
141459,GAN,50,41.1449,22.5023,61,2015-01-11,22:06,2015-01-11,21:06,3,,,"clear","Orion","","","Macedonia (FYROM)"
141460,GAN,51,45.821,15.9793,141.97,2015-01-11,22:08,2015-01-11,21:08,-9999,,,"over 1/2 of sky","Orion","","","Croatia"
141461,SQM,52,42.3382,-83.3092,191.03,2015-01-11,19:36,2015-01-12,00:36,-9999,13.3,,"clear","Orion","Clear, no clouds out","Suburban, lights on nearby, no trees nearby","United States - Michigan"
141462,GAN,53,42.3378,-83.2856,189.86,2015-01-11,19:01,2015-01-12,00:01,1,,,"over 1/2 of sky","Orion","many clouds, can't really tell what type, can't see many stars (in fact, almost to none), no a little skyglow","Suburban, Snow on the ground and it is snowing, one tree nearby (about 2o feet away), one streetlight about 10 feet away","United States - Michigan"
141463,GAN,54,42.321,-83.3076,191.37,2015-01-11,19:30,2015-01-12,00:30,-9999,,,"over 1/2 of sky","Orion","Sky full of large sky clouds-could not differentiate between them. No stars visible. Moon also covered by clouds.","Suburban area. Many lamposts but zero streetlights. Few large trees in front of locations.","United States - Michigan"
141464,SQM,55,42.321,-83.3076,191.37,2015-01-11,20:03,2015-01-12,01:03,2,15.84,,"over 1/2 of sky","Orion","Sky full of large sky clouds-could not differentiate between them. No stars visible. Moon also covered by clouds.","Suburban area. Many lamposts but zero streetlights. Few large trees in front of locations.","United States - Michigan"
