ID,ObsType,ObsID,Latitude,Longitude,Elevation(m),LocalDate,LocalTime,UTDate,UTTime,LimitingMag,SQMReading,SQMSerial,CloudCover,Constellation,SkyComment,LocationComment,Country
51078,GAN,1,47.9327,21.0382,93.05,2011-02-21,19:00,2011-02-21,18:00,3,,,"1/4 of sky","Orion","","","Hungary"
51079,GAN,2,27.5072,-109.934,42.74,2011-02-21,21:01,2011-02-22,04:01,4,,,"clear","Orion","No clouds","One porchlight","Mexico"
51080,GAN,3,4.60641,-74.0695,2618.54,2011-02-21,23:32,2011-02-22,04:32,-9999,,,"over 1/2 of sky","Orion","Nicolas Cortes  Universidad Militar Nueva Granada","","Colombia"
51081,GAN,4,28.5747,77.3666,205.03,2011-02-21,20:23,2011-02-21,14:53,3,,,"clear","Orion","","","India"
51082,GAN,5,-34.7182,-55.9598,28.69,2011-02-21,22:00,2011-02-22,00:00,5,,,"1/4 of sky","Orion","","","Uruguay"
51083,GAN,6,45.2402,-84.5441,275.68,2011-02-21,21:21,2011-02-22,02:21,6,,,"1/4 of sky","Orion","","rural","United States - Michigan"
51084,GAN,7,49.1964,119.738,611.9,2011-02-21,21:30,2011-02-21,13:30,5,,,"clear","Orion","No haze. Comparison of the dark sky.","Campus in the suburbs, there is snow and porch lights, no street lights","China"
51085,GAN,8,60.564,-151.197,24.72,2011-02-21,21:11,2011-02-22,06:11,4,,,"clear","Orion","","Inside small City, approximate population 7,000.  A number of street lights nearby with orange-yellowish light.  In addition, neighboring houses have bright porch and yard lights.","United States - Alaska"
51086,GAN,9,19.2063,-155.902,12.2,2011-02-21,22:00,2011-02-22,08:00,5,,,"1/4 of sky","Orion","severe haze over 1/3 of sky to the horizon in westerly direction. over-head (where Orion is at this latitude) is quite clear.  my vision without glasses is only 90%.","rural area, no trees but street lights at a distance of 300 meters.    this is not my normal seeing conditions at this time of year since I am from Canada and a member of RASC/  Waterloo","United States - Hawaii"
51087,GAN,10,-34.3071,152.031,-4100.89,2011-02-21,19:58,2011-02-21,19:58,-9999,,,"over 1/2 of sky","Orion","Heavy cloud - no stars to be seen","Regional. No street lights or other light sources.",""
51088,GAN,11,-31.8769,115.955,14.77,2011-02-21,20:05,2011-02-21,12:05,2,,,"clear","Orion","Still and clear","Suburban - 20kms from major city","Australia"
51089,GAN,12,31.7857,35.2007,804.15,2011-02-21,19:27,2011-02-21,17:27,1,,,"clear","Orion","clear","","Israel"
